"cidade","scongenita"
"521800 Porangatu",6
"521805 Porteirão",2
"521830 Posse",8
"521839 Professor Jamil",1
"521850 Quirinópolis",6
"521860 Rialma",5
"521880 Rio Verde",214
"521890 Rubiataba",2
"521900 Sanclerlândia",1
"521910 Santa Bárbara de Goiás",1
"521930 Santa Helena de Goiás",3
"521940 Santa Rita do Araguaia",1
"521970 Santa Terezinha de Goiás",4
"521975 Santo Antônio do Descoberto",55
"521990 São Francisco de Goiás",4
"522000 São João d'Aliança",2
"522005 São João da Paraúna",1
"522010 São Luís de Montes Belos",2
"522015 São Luíz do Norte",1
"522020 São Miguel do Araguaia",4
"522045 Senador Canedo",34
"522050 Serranópolis",4
"522060 Silvânia",4
"522100 Taquaral de Goiás",1
"522108 Teresina de Goiás",1
"522119 Terezópolis de Goiás",2
"522140 Trindade",61
"522155 Turvelândia",5
"522157 Uirapuru",1
"522160 Uruaçu",13
"522170 Uruana",7
"522185 Valparaíso de Goiás",143
"522200 Vianópolis",3
"522205 Vicentinópolis",2
"522220 Vila Boa",1
"530010 Brasília",1436
